fig|3702.11.peg.1	ATMG00010	ATMG00010.1
fig|3702.11.peg.10	ATMG00120	ATMG00120.1
fig|3702.11.peg.100	ATMG01170	ATMG01170.1
fig|3702.11.peg.1000	AT5G08450	AT5G08450.2
fig|3702.11.peg.10000	AT4G33960	AT4G33960.1
fig|3702.11.peg.10001	AT4G33970	AT4G33970.1
fig|3702.11.peg.10002	AT4G33980	AT4G33980.2
fig|3702.11.peg.10003	AT4G33985	AT4G33985.1
fig|3702.11.peg.10004	AT4G33990	AT4G33990.1
fig|3702.11.peg.10005	AT4G34000	AT4G34000.2
fig|3702.11.peg.10006	AT4G34020	AT4G34020.1
fig|3702.11.peg.10007	AT4G34030	AT4G34030.1
fig|3702.11.peg.10008	AT4G34040	AT4G34040.1
fig|3702.11.peg.10009	AT4G34050	AT4G34050.1
fig|3702.11.peg.1001	AT5G08460	AT5G08460.1
fig|3702.11.peg.10010	AT4G34060	AT4G34060.1
fig|3702.11.peg.10011	AT4G34070	AT4G34070.1
fig|3702.11.peg.10012	AT4G34090	AT4G34090.3
fig|3702.11.peg.10013	AT4G34080	AT4G34080.1
fig|3702.11.peg.10014	AT4G34100	AT4G34100.1
fig|3702.11.peg.10015	AT4G34110	AT4G34110.1
fig|3702.11.peg.10016	AT4G34120	AT4G34120.1
fig|3702.11.peg.10017	AT4G34131	AT4G34131.1
fig|3702.11.peg.10018	AT4G34135	AT4G34135.1
fig|3702.11.peg.10019	AT4G34138	AT4G34138.1
fig|3702.11.peg.1002	AT5G08470	AT5G08470.1
fig|3702.11.peg.10020	AT4G34140	AT4G34140.1
fig|3702.11.peg.10021	AT4G34150	AT4G34150.1
fig|3702.11.peg.10022	AT4G34160	AT4G34160.1
fig|3702.11.peg.10023	AT4G34170	AT4G34170.1
fig|3702.11.peg.10024	AT4G34180	AT4G34180.1
fig|3702.11.peg.10025	AT4G34190	AT4G34190.1
fig|3702.11.peg.10026	AT4G34200	AT4G34200.1
fig|3702.11.peg.10027	AT4G34210	AT4G34210.1
fig|3702.11.peg.10028	AT4G34215	AT4G34215.1
fig|3702.11.peg.10029	AT4G34220	AT4G34220.1
fig|3702.11.peg.1003	AT5G08480	AT5G08480.2
fig|3702.11.peg.10030	AT4G34230	AT4G34230.1
fig|3702.11.peg.10031	AT4G34240	AT4G34240.1
fig|3702.11.peg.10032	AT4G34250	AT4G34250.1
fig|3702.11.peg.10033	AT4G34260	AT4G34260.1
fig|3702.11.peg.10034	AT4G34265	AT4G34265.1
fig|3702.11.peg.10035	AT4G34270	AT4G34270.1
fig|3702.11.peg.10036	AT4G34272	AT4G34272.1
fig|3702.11.peg.10037	AT4G34280	AT4G34280.1
fig|3702.11.peg.10038	AT4G34290	AT4G34290.1
fig|3702.11.peg.10039	AT4G34300	AT4G34300.1
fig|3702.11.peg.1004	AT5G08490	AT5G08490.1
fig|3702.11.peg.10040	AT4G34310	AT4G34310.1
fig|3702.11.peg.10041	AT4G34320	AT4G34320.1
fig|3702.11.peg.10042	AT4G34330	AT4G34330.1
fig|3702.11.peg.10043	AT4G34340	AT4G34340.1
fig|3702.11.peg.10044	AT4G34350	AT4G34350.1
fig|3702.11.peg.10045	AT4G34360	AT4G34360.1
fig|3702.11.peg.10046	AT4G34370	AT4G34370.1
fig|3702.11.peg.10047	AT4G34380	AT4G34380.1
fig|3702.11.peg.10048	AT4G34390	AT4G34390.1
fig|3702.11.peg.10049	AT4G34400	AT4G34400.1
fig|3702.11.peg.1005	AT5G08500	AT5G08500.1
fig|3702.11.peg.10050	AT4G34410	AT4G34410.1
fig|3702.11.peg.10051	AT4G34412	AT4G34412.1
fig|3702.11.peg.10052	AT4G34419	AT4G34419.1
fig|3702.11.peg.10053	AT4G34420	AT4G34420.1
fig|3702.11.peg.10054	AT4G34430	AT4G34430.4
