fig|3702.11.peg.1	ATMG00010	ATMG00010.1
fig|3702.11.peg.10055	AT4G34440	AT4G34440.1
fig|3702.11.peg.10056	AT4G34450	AT4G34450.1
fig|3702.11.peg.10057	AT4G34460	AT4G34460.1
fig|3702.11.peg.10058	AT4G34470	AT4G34470.1
fig|3702.11.peg.10059	AT4G34480	AT4G34480.1
fig|3702.11.peg.1006	AT5G08505	AT5G08505.1
fig|3702.11.peg.10060	AT4G34490	AT4G34490.1
fig|3702.11.peg.10061	AT4G34500	AT4G34500.1
fig|3702.11.peg.10062	AT4G34510	AT4G34510.1
fig|3702.11.peg.10063	AT4G34520	AT4G34520.1
fig|3702.11.peg.10064	AT4G34540	AT4G34540.1
fig|3702.11.peg.10065	AT4G34530	AT4G34530.1
fig|3702.11.peg.10066	AT4G34550	AT4G34550.1
fig|3702.11.peg.10067	AT4G34555	AT4G34555.1
fig|3702.11.peg.10068	AT4G34560	AT4G34560.1
fig|3702.11.peg.10069	AT4G34570	AT4G34570.1
fig|3702.11.peg.1007	AT5G08510	AT5G08510.1
fig|3702.11.peg.10070	AT4G34580	AT4G34580.1
fig|3702.11.peg.10071	AT4G34590	AT4G34590.1
fig|3702.11.peg.10072	AT4G34588	AT4G34588.1
fig|3702.11.peg.10073	AT4G34600	AT4G34600.1
fig|3702.11.peg.10074	AT4G34610	AT4G34610.1
fig|3702.11.peg.10075	AT4G34620	AT4G34620.1
fig|3702.11.peg.10076	AT4G34630	AT4G34630.1
fig|3702.11.peg.10077	AT4G34640	AT4G34640.1
fig|3702.11.peg.10078	AT4G34650	AT4G34650.1
fig|3702.11.peg.10079	AT4G34660	AT4G34660.1
fig|3702.11.peg.1008	AT5G08520	AT5G08520.1
fig|3702.11.peg.10080	AT4G34670	AT4G34670.1
fig|3702.11.peg.10081	AT4G34680	AT4G34680.2
fig|3702.11.peg.10082	AT4G34690	AT4G34690.1
fig|3702.11.peg.10083	AT4G34700	AT4G34700.1
fig|3702.11.peg.10084	AT4G34710	AT4G34710.2
fig|3702.11.peg.10085	AT4G34720	AT4G34720.1
fig|3702.11.peg.10086	AT4G34730	AT4G34730.1
fig|3702.11.peg.10087	AT4G34740	AT4G34740.1
fig|3702.11.peg.10088	AT4G34750	AT4G34750.1
fig|3702.11.peg.10089	AT4G34760	AT4G34760.1
fig|3702.11.peg.1009	AT5G08530	AT5G08530.1
fig|3702.11.peg.10090	AT4G34770	AT4G34770.1
fig|3702.11.peg.10091	AT4G34780	AT4G34780.1
fig|3702.11.peg.10092	AT4G34790	AT4G34790.1
fig|3702.11.peg.10093	AT4G34800	AT4G34800.1
fig|3702.11.peg.10094	AT4G34810	AT4G34810.1
fig|3702.11.peg.10095	AT4G34830	AT4G34830.1
fig|3702.11.peg.10096	AT4G34840	AT4G34840.1
fig|3702.11.peg.10097	AT4G34850	AT4G34850.1
fig|3702.11.peg.10098	AT4G34860	AT4G34860.2
fig|3702.11.peg.10099	AT4G34870	AT4G34870.1
fig|3702.11.peg.101	ATMG01180	ATMG01180.1
fig|3702.11.peg.1010	AT5G08535	AT5G08535.1
fig|3702.11.peg.10100	AT4G34880	AT4G34880.1
fig|3702.11.peg.10101	AT4G34881	AT4G34881.1
fig|3702.11.peg.10102	AT4G34890	AT4G34890.1
fig|3702.11.peg.10103	AT4G34900	AT4G34900.1
fig|3702.11.peg.10104	AT4G34910	AT4G34910.1
fig|3702.11.peg.10105	AT4G34920	AT4G34920.1
fig|3702.11.peg.10106	AT4G34930	AT4G34930.1
fig|3702.11.peg.10107	AT4G34940	AT4G34940.1
fig|3702.11.peg.10108	AT4G34950	AT4G34950.1
fig|3702.11.peg.10109	AT4G34960	AT4G34960.1
fig|3702.11.peg.1011	AT5G08540	AT5G08540.1
fig|3702.11.peg.10110	AT4G34970	AT4G34970.1
fig|3702.11.peg.10111	AT4G34980	AT4G34980.1
fig|3702.11.peg.10112	AT4G34990	AT4G34990.1
fig|3702.11.peg.10113	AT4G35000	AT4G35000.1
fig|3702.11.peg.10114	AT4G35010	AT4G35010.1
fig|3702.11.peg.10115	AT4G35020	AT4G35020.1
fig|3702.11.peg.10116	AT4G35025	AT4G35025.1
fig|3702.11.peg.10117	AT4G35030	AT4G35030.3
fig|3702.11.peg.10118	AT4G35040	AT4G35040.1
fig|3702.11.peg.10119	AT4G35050	AT4G35050.1
fig|3702.11.peg.1012	AT5G08550	AT5G08550.1
fig|3702.11.peg.10120	AT4G35060	AT4G35060.1
fig|3702.11.peg.10121	AT4G35070	AT4G35070.1
fig|3702.11.peg.10122	AT4G35080	AT4G35080.3
fig|3702.11.peg.10123	AT4G35090	AT4G35090.1
fig|3702.11.peg.10124	AT4G35100	AT4G35100.2
fig|3702.11.peg.10125	AT4G35110	AT4G35110.3
fig|3702.11.peg.10126	AT4G35120	AT4G35120.1
fig|3702.11.peg.10127	AT4G35130	AT4G35130.1
fig|3702.11.peg.10128	AT4G35140	AT4G35140.1
fig|3702.11.peg.10129	AT4G35150	AT4G35150.1
fig|3702.11.peg.1013	AT5G08560	AT5G08560.1
fig|3702.11.peg.10130	AT4G35160	AT4G35160.1
fig|3702.11.peg.10131	AT4G35165	AT4G35165.1
fig|3702.11.peg.10132	AT4G35170	AT4G35170.1
fig|3702.11.peg.10133	AT4G35180	AT4G35180.1
fig|3702.11.peg.10134	AT4G35190	AT4G35190.1
fig|3702.11.peg.10135	AT4G35200	AT4G35200.1
fig|3702.11.peg.10136	AT4G35210	AT4G35210.1
fig|3702.11.peg.10137	AT4G35220	AT4G35220.1
fig|3702.11.peg.10138	AT4G35230	AT4G35230.1
fig|3702.11.peg.10139	AT4G35240	AT4G35240.2
fig|3702.11.peg.1014	AT5G08565	AT5G08565.2
fig|3702.11.peg.10140	AT4G35250	AT4G35250.1
fig|3702.11.peg.10141	AT4G35260	AT4G35260.1
fig|3702.11.peg.10142	AT4G35263	AT4G35263.1
fig|3702.11.peg.10143	AT4G35270	AT4G35270.1
fig|3702.11.peg.10144	AT4G35280	AT4G35280.1
fig|3702.11.peg.10145	AT4G35290	AT4G35290.1
fig|3702.11.peg.10146	AT4G35295	AT4G35295.1
fig|3702.11.peg.10147	AT4G35300	AT4G35300.4
fig|3702.11.peg.10148	AT4G35310	AT4G35310.1
fig|3702.11.peg.10149	AT4G35320	AT4G35320.1
fig|3702.11.peg.1015	AT5G08570	AT5G08570.1
fig|3702.11.peg.10150	AT4G35335	AT4G35335.1
fig|3702.11.peg.10151	AT4G35350	AT4G35350.1
fig|3702.11.peg.10152	AT4G35360	AT4G35360.1
fig|3702.11.peg.10153	AT4G35370	AT4G35370.1
fig|3702.11.peg.10154	AT4G35380	AT4G35380.1
fig|3702.11.peg.10155	AT4G35390	AT4G35390.1
fig|3702.11.peg.10156	AT4G35410	AT4G35410.2
fig|3702.11.peg.10157	AT4G35420	AT4G35420.1
fig|3702.11.peg.10158	AT4G35440	AT4G35440.2
fig|3702.11.peg.10159	AT4G35430	AT4G35430.1
fig|3702.11.peg.1016	AT5G08580	AT5G08580.1
fig|3702.11.peg.10160	AT4G35450	AT4G35450.5
fig|3702.11.peg.10161	AT4G35460	AT4G35460.1
fig|3702.11.peg.10162	AT4G35470	AT4G35470.1
fig|3702.11.peg.10163	AT4G35480	AT4G35480.1
fig|3702.11.peg.10164	AT4G35490	AT4G35490.1
fig|3702.11.peg.10165	AT4G35500	AT4G35500.2
fig|3702.11.peg.10166	AT4G35510	AT4G35510.1
fig|3702.11.peg.10167	AT4G35519	AT4G35519.1
fig|3702.11.peg.10168	AT4G35520	AT4G35520.1
fig|3702.11.peg.10169	AT4G35530	AT4G35530.1
fig|3702.11.peg.1017	AT5G08590	AT5G08590.1
fig|3702.11.peg.10170	AT4G35540	AT4G35540.1
fig|3702.11.peg.10171	AT4G35550	AT4G35550.1
fig|3702.11.peg.10172	AT4G35560	AT4G35560.2
fig|3702.11.peg.10173	AT4G35570	AT4G35570.1
fig|3702.11.peg.10174	AT4G35580	AT4G35580.2
fig|3702.11.peg.10175	AT4G35589	AT4G35589.1
fig|3702.11.peg.10176	AT4G35590	AT4G35590.1
fig|3702.11.peg.10177	AT4G35600	AT4G35600.2
fig|3702.11.peg.10178	AT4G35610	AT4G35610.1
fig|3702.11.peg.10179	AT4G35620	AT4G35620.1
fig|3702.11.peg.1018	AT5G08600	AT5G08600.2
fig|3702.11.peg.10180	AT4G35630	AT4G35630.1
fig|3702.11.peg.10181	AT4G35640	AT4G35640.1
fig|3702.11.peg.10182	AT4G35650	AT4G35650.1
fig|3702.11.peg.10183	AT4G35655	AT4G35655.1
fig|3702.11.peg.10184	AT4G35660	AT4G35660.1
fig|3702.11.peg.10185	AT4G35670	AT4G35670.1
fig|3702.11.peg.10186	AT4G35680	AT4G35680.1
fig|3702.11.peg.10187	AT4G35690	AT4G35690.1
fig|3702.11.peg.10188	AT4G35700	AT4G35700.1
fig|3702.11.peg.10189	AT4G35710	AT4G35710.1
fig|3702.11.peg.1019	AT5G08610	AT5G08610.1
fig|3702.11.peg.10190	AT4G35720	AT4G35720.1
fig|3702.11.peg.10191	AT4G35725	AT4G35725.1
fig|3702.11.peg.10192	AT4G35730	AT4G35730.1
fig|3702.11.peg.10193	AT4G35733	AT4G35733.1
fig|3702.11.peg.10194	AT4G35740	AT4G35740.1
fig|3702.11.peg.10195	AT4G35750	AT4G35750.1
fig|3702.11.peg.10196	AT4G35760	AT4G35760.1
fig|3702.11.peg.10197	AT4G35770	AT4G35770.1
fig|3702.11.peg.10198	AT4G35780	AT4G35780.1
fig|3702.11.peg.10199	AT4G35783	AT4G35783.1
fig|3702.11.peg.102	ATMG01190	ATMG01190.1
fig|3702.11.peg.1020	AT5G08620	AT5G08620.1
fig|3702.11.peg.10200	AT4G35785	AT4G35785.5
fig|3702.11.peg.10201	AT4G35790	AT4G35790.1
fig|3702.11.peg.10202	AT4G35800	AT4G35800.1
fig|3702.11.peg.10203	AT4G35810	AT4G35810.1
fig|3702.11.peg.10204	AT4G35820	AT4G35820.1
fig|3702.11.peg.10205	AT4G35830	AT4G35830.1
fig|3702.11.peg.10206	AT4G35837	AT4G35837.1
fig|3702.11.peg.10207	AT4G35840	AT4G35840.1
fig|3702.11.peg.10208	AT4G35850	AT4G35850.1
fig|3702.11.peg.10209	AT4G35860	AT4G35860.1
fig|3702.11.peg.1021	AT5G08630	AT5G08630.1
fig|3702.11.peg.10210	AT4G35870	AT4G35870.1
fig|3702.11.peg.10211	AT4G35880	AT4G35880.1
fig|3702.11.peg.10212	AT4G35890	AT4G35890.1
fig|3702.11.peg.10213	AT4G35900	AT4G35900.1
fig|3702.11.peg.10214	AT4G35905	AT4G35905.1
fig|3702.11.peg.10215	AT4G35910	AT4G35910.1
fig|3702.11.peg.10216	AT4G35920	AT4G35920.2
fig|3702.11.peg.10217	AT4G35930	AT4G35930.1
fig|3702.11.peg.10218	AT4G35940	AT4G35940.1
fig|3702.11.peg.10219	AT4G35950	AT4G35950.1
fig|3702.11.peg.1022	AT5G08640	AT5G08640.2
fig|3702.11.peg.10220	AT4G35970	AT4G35970.1
fig|3702.11.peg.10221	AT4G35980	AT4G35980.1
fig|3702.11.peg.10222	AT4G35985	AT4G35985.1
fig|3702.11.peg.10223	AT4G35987	AT4G35987.1
fig|3702.11.peg.10224	AT4G36000	AT4G36000.1
fig|3702.11.peg.10225	AT4G36010	AT4G36010.2
fig|3702.11.peg.10226	AT4G36020	AT4G36020.1
fig|3702.11.peg.10227	AT4G36030	AT4G36030.1
fig|3702.11.peg.10228	AT4G36040	AT4G36040.1
fig|3702.11.peg.10229	AT4G36050	AT4G36050.2
fig|3702.11.peg.1023	AT5G08650	AT5G08650.1
fig|3702.11.peg.10230	AT4G36060	AT4G36060.1
fig|3702.11.peg.10231	AT4G36070	AT4G36070.2
fig|3702.11.peg.10232	AT4G36080	AT4G36080.1
fig|3702.11.peg.10233	AT4G36090	AT4G36090.3
fig|3702.11.peg.10234	AT4G36100	AT4G36100.1
fig|3702.11.peg.10235	AT4G36105	AT4G36105.2
fig|3702.11.peg.10236	AT4G36110	AT4G36110.1
fig|3702.11.peg.10237	AT4G36120	AT4G36120.1
fig|3702.11.peg.10238	AT4G36130	AT4G36130.1
fig|3702.11.peg.10239	AT4G36140	AT4G36140.1
fig|3702.11.peg.1024	AT5G08660	AT5G08660.1
fig|3702.11.peg.10240	AT4G36150	AT4G36150.1
fig|3702.11.peg.10241	AT4G36160	AT4G36160.1
fig|3702.11.peg.10242	AT4G36170	AT4G36170.1
fig|3702.11.peg.10243	AT4G36180	AT4G36180.1
fig|3702.11.peg.10244	AT4G36190	AT4G36190.1
fig|3702.11.peg.10245	AT4G36195	AT4G36195.1
fig|3702.11.peg.10246	AT4G36210	AT4G36210.3
fig|3702.11.peg.10247	AT4G36220	AT4G36220.1
fig|3702.11.peg.10248	AT4G36230	AT4G36230.1
fig|3702.11.peg.10249	AT4G36240	AT4G36240.1
fig|3702.11.peg.1025	AT5G08670	AT5G08670.1
fig|3702.11.peg.10250	AT4G36250	AT4G36250.1
fig|3702.11.peg.10251	AT4G36260	AT4G36260.1
fig|3702.11.peg.10252	AT4G36268	AT4G36268.1
fig|3702.11.peg.10253	AT4G36270	AT4G36270.1
fig|3702.11.peg.10254	AT4G36280	AT4G36280.1
fig|3702.11.peg.10255	AT4G36290	AT4G36290.1
fig|3702.11.peg.10256	AT4G36350	AT4G36350.1
fig|3702.11.peg.10257	AT4G36360	AT4G36360.1
fig|3702.11.peg.10258	AT4G36370	AT4G36370.1
fig|3702.11.peg.10259	AT4G36380	AT4G36380.1
fig|3702.11.peg.1026	AT5G08680	AT5G08680.1
fig|3702.11.peg.10260	AT4G36390	AT4G36390.1
fig|3702.11.peg.10261	AT4G36400	AT4G36400.1
fig|3702.11.peg.10262	AT4G36410	AT4G36410.1
fig|3702.11.peg.10263	AT4G36420	AT4G36420.1
fig|3702.11.peg.10264	AT4G36430	AT4G36430.1
fig|3702.11.peg.10265	AT4G36440	AT4G36440.1
fig|3702.11.peg.10266	AT4G36450	AT4G36450.1
fig|3702.11.peg.10267	AT4G36460	AT4G36460.1
fig|3702.11.peg.10268	AT4G36470	AT4G36470.1
fig|3702.11.peg.10269	AT4G36480	AT4G36480.2
fig|3702.11.peg.1027	AT5G08690	AT5G08690.1
fig|3702.11.peg.10270	AT4G36490	AT4G36490.1
fig|3702.11.peg.10271	AT4G36500	AT4G36500.1
fig|3702.11.peg.10272	AT4G36510	AT4G36510.1
fig|3702.11.peg.10273	AT4G36515	AT4G36515.1
fig|3702.11.peg.10274	AT4G36520	AT4G36520.1
fig|3702.11.peg.10275	AT4G36530	AT4G36530.2
fig|3702.11.peg.10276	AT4G36540	AT4G36540.1
fig|3702.11.peg.10277	AT4G36550	AT4G36550.1
fig|3702.11.peg.10278	AT4G36560	AT4G36560.1
fig|3702.11.peg.10279	AT4G36570	AT4G36570.1
fig|3702.11.peg.1028	AT5G08695	AT5G08695.1
fig|3702.11.peg.10280	AT4G36580	AT4G36580.1
fig|3702.11.peg.10281	AT4G36590	AT4G36590.1
fig|3702.11.peg.10282	AT4G36600	AT4G36600.1
fig|3702.11.peg.10283	AT4G36610	AT4G36610.1
fig|3702.11.peg.10284	AT4G36620	AT4G36620.1
fig|3702.11.peg.10285	AT4G36630	AT4G36630.1
fig|3702.11.peg.10286	AT4G36640	AT4G36640.1
fig|3702.11.peg.10287	AT4G36650	AT4G36650.1
fig|3702.11.peg.10288	AT4G36660	AT4G36660.1
fig|3702.11.peg.10289	AT4G36670	AT4G36670.1
fig|3702.11.peg.1029	AT5G08710	AT5G08710.1
fig|3702.11.peg.10290	AT4G36680	AT4G36680.1
fig|3702.11.peg.10291	AT4G36690	AT4G36690.1
fig|3702.11.peg.10292	AT4G36700	AT4G36700.1
fig|3702.11.peg.10293	AT4G36710	AT4G36710.1
fig|3702.11.peg.10294	AT4G36720	AT4G36720.1
fig|3702.11.peg.10295	AT4G36730	AT4G36730.1
fig|3702.11.peg.10296	AT4G36740	AT4G36740.1
fig|3702.11.peg.10297	AT4G36750	AT4G36750.1
fig|3702.11.peg.10298	AT4G36760	AT4G36760.1
fig|3702.11.peg.10299	AT4G36770	AT4G36770.1
fig|3702.11.peg.103	ATMG01200	ATMG01200.1
fig|3702.11.peg.1030	AT5G08720	AT5G08720.1
fig|3702.11.peg.10300	AT4G36780	AT4G36780.1
fig|3702.11.peg.10301	AT4G36790	AT4G36790.1
fig|3702.11.peg.10302	AT4G36791	AT4G36791.1
fig|3702.11.peg.10303	AT4G36800	AT4G36800.2
fig|3702.11.peg.10304	AT4G36810	AT4G36810.1
fig|3702.11.peg.10305	AT4G36820	AT4G36820.1
fig|3702.11.peg.10306	AT4G36830	AT4G36830.1
fig|3702.11.peg.10307	AT4G36840	AT4G36840.1
fig|3702.11.peg.10308	AT4G36850	AT4G36850.1
fig|3702.11.peg.10309	AT4G36860	AT4G36860.1
fig|3702.11.peg.1031	AT5G08730	AT5G08730.1
fig|3702.11.peg.10310	AT4G36870	AT4G36870.2
fig|3702.11.peg.10311	AT4G36880	AT4G36880.1
fig|3702.11.peg.10312	AT4G36890	AT4G36890.1
fig|3702.11.peg.10313	AT4G36900	AT4G36900.1
fig|3702.11.peg.10314	AT4G36910	AT4G36910.1
fig|3702.11.peg.10315	AT4G36920	AT4G36920.2
fig|3702.11.peg.10316	AT4G36925	AT4G36925.1
fig|3702.11.peg.10317	AT4G36930	AT4G36930.1
fig|3702.11.peg.10318	AT4G36940	AT4G36940.1
fig|3702.11.peg.10319	AT4G36945	AT4G36945.1
fig|3702.11.peg.1032	AT5G08740	AT5G08740.1
fig|3702.11.peg.10320	AT4G36950	AT4G36950.1
fig|3702.11.peg.10321	AT4G36960	AT4G36960.1
fig|3702.11.peg.10322	AT4G36970	AT4G36970.1
fig|3702.11.peg.10323	AT4G36980	AT4G36980.4
fig|3702.11.peg.10324	AT4G36988	AT4G36988.1
fig|3702.11.peg.10325	AT4G36990	AT4G36990.1
fig|3702.11.peg.10326	AT4G37000	AT4G37000.1
fig|3702.11.peg.10327	AT4G37010	AT4G37010.2
fig|3702.11.peg.10328	AT4G37020	AT4G37020.2
fig|3702.11.peg.10329	AT4G37022	AT4G37022.1
fig|3702.11.peg.1033	AT5G08750	AT5G08750.3
fig|3702.11.peg.10330	AT4G37030	AT4G37030.1
fig|3702.11.peg.10331	AT4G37040	AT4G37040.1
fig|3702.11.peg.10332	AT4G37050	AT4G37050.1
fig|3702.11.peg.10333	AT4G37060	AT4G37060.2
fig|3702.11.peg.10334	AT4G37070	AT4G37070.2
fig|3702.11.peg.10335	AT4G37080	AT4G37080.2
fig|3702.11.peg.10336	AT4G37090	AT4G37090.1
fig|3702.11.peg.10337	AT4G37095	AT4G37095.1
fig|3702.11.peg.10338	AT4G37100	AT4G37100.1
fig|3702.11.peg.10339	AT4G37110	AT4G37110.1
fig|3702.11.peg.1034	AT5G08760	AT5G08760.1
fig|3702.11.peg.10340	AT4G37120	AT4G37120.1
fig|3702.11.peg.10341	AT4G37130	AT4G37130.1
fig|3702.11.peg.10342	AT4G37140	AT4G37140.1
fig|3702.11.peg.10343	AT4G37150	AT4G37150.1
fig|3702.11.peg.10344	AT4G37160	AT4G37160.1
fig|3702.11.peg.10345	AT4G37170	AT4G37170.1
fig|3702.11.peg.10346	AT4G37180	AT4G37180.2
fig|3702.11.peg.10347	AT4G37190	AT4G37190.1
fig|3702.11.peg.10348	AT4G37200	AT4G37200.1
fig|3702.11.peg.10349	AT4G37210	AT4G37210.1
fig|3702.11.peg.1035	AT5G08770	AT5G08770.1
fig|3702.11.peg.10350	AT4G37220	AT4G37220.1
fig|3702.11.peg.10351	AT4G37230	AT4G37230.1
fig|3702.11.peg.10352	AT4G37235	AT4G37235.1
fig|3702.11.peg.10353	AT4G37240	AT4G37240.1
fig|3702.11.peg.10354	AT4G37250	AT4G37250.1
fig|3702.11.peg.10355	AT4G37260	AT4G37260.1
fig|3702.11.peg.10356	AT4G37270	AT4G37270.1
fig|3702.11.peg.10357	AT4G37280	AT4G37280.1
fig|3702.11.peg.10358	AT4G37290	AT4G37290.1
fig|3702.11.peg.10359	AT4G37295	AT4G37295.1
fig|3702.11.peg.1036	AT5G08780	AT5G08780.1
fig|3702.11.peg.10360	AT4G37300	AT4G37300.1
fig|3702.11.peg.10361	AT4G37310	AT4G37310.1
fig|3702.11.peg.10362	AT4G37320	AT4G37320.1
fig|3702.11.peg.10363	AT4G37330	AT4G37330.1
fig|3702.11.peg.10364	AT4G37340	AT4G37340.1
fig|3702.11.peg.10365	AT4G37360	AT4G37360.1
fig|3702.11.peg.10366	AT4G37370	AT4G37370.1
fig|3702.11.peg.10367	AT4G37380	AT4G37380.1
fig|3702.11.peg.10368	AT4G37390	AT4G37390.1
fig|3702.11.peg.10369	AT4G37400	AT4G37400.1
fig|3702.11.peg.1037	AT5G08790	AT5G08790.1
fig|3702.11.peg.10370	AT4G37409	AT4G37409.1
fig|3702.11.peg.10371	AT4G37410	AT4G37410.1
fig|3702.11.peg.10372	AT4G37420	AT4G37420.1
fig|3702.11.peg.10373	AT4G37430	AT4G37430.1
fig|3702.11.peg.10374	AT4G37440	AT4G37440.1
fig|3702.11.peg.10375	AT4G37445	AT4G37445.1
fig|3702.11.peg.10376	AT4G37450	AT4G37450.1
fig|3702.11.peg.10377	AT4G37460	AT4G37460.1
fig|3702.11.peg.10378	AT4G37470	AT4G37470.1
fig|3702.11.peg.10379	AT4G37480	AT4G37480.1
fig|3702.11.peg.1038	AT5G09210	AT5G09210.1
fig|3702.11.peg.10380	AT4G37483	AT4G37483.1
fig|3702.11.peg.10381	AT4G37490	AT4G37490.1
fig|3702.11.peg.10382	AT4G37500	AT4G37500.1
fig|3702.11.peg.10383	AT4G37510	AT4G37510.1
fig|3702.11.peg.10384	AT4G37520	AT4G37520.1
fig|3702.11.peg.10385	AT4G37530	AT4G37530.1
fig|3702.11.peg.10386	AT4G37540	AT4G37540.1
fig|3702.11.peg.10387	AT4G37550	AT4G37550.1
fig|3702.11.peg.10388	AT4G37560	AT4G37560.1
fig|3702.11.peg.10389	AT4G37580	AT4G37580.1
fig|3702.11.peg.1039	AT5G09220	AT5G09220.1
fig|3702.11.peg.10390	AT4G37590	AT4G37590.1
fig|3702.11.peg.10391	AT4G37608	AT4G37608.1
fig|3702.11.peg.10392	AT4G37610	AT4G37610.1
fig|3702.11.peg.10393	AT4G37630	AT4G37630.1
fig|3702.11.peg.10394	AT4G37640	AT4G37640.1
fig|3702.11.peg.10395	AT4G37650	AT4G37650.1
fig|3702.11.peg.10396	AT4G37660	AT4G37660.1
fig|3702.11.peg.10397	AT4G37670	AT4G37670.2
fig|3702.11.peg.10398	AT4G37680	AT4G37680.2
fig|3702.11.peg.10399	AT4G37682	AT4G37682.1
fig|3702.11.peg.104	ATMG01210	ATMG01210.1
fig|3702.11.peg.1040	AT5G09225	AT5G09225.1
fig|3702.11.peg.10400	AT4G37685	AT4G37685.1
fig|3702.11.peg.10401	AT4G37690	AT4G37690.1
fig|3702.11.peg.10402	AT4G37700	AT4G37700.1
fig|3702.11.peg.10403	AT4G37710	AT4G37710.1
fig|3702.11.peg.10404	AT4G37720	AT4G37720.1
fig|3702.11.peg.10405	AT4G37730	AT4G37730.1
fig|3702.11.peg.10406	AT4G37740	AT4G37740.1
fig|3702.11.peg.10407	AT4G37750	AT4G37750.1
fig|3702.11.peg.10408	AT4G37760	AT4G37760.1
fig|3702.11.peg.10409	AT4G37770	AT4G37770.1
fig|3702.11.peg.1041	AT5G09230	AT5G09230.7
fig|3702.11.peg.10410	AT4G37780	AT4G37780.1
fig|3702.11.peg.10411	AT4G37790	AT4G37790.1
fig|3702.11.peg.10412	AT4G37800	AT4G37800.1
fig|3702.11.peg.10413	AT4G37810	AT4G37810.1
fig|3702.11.peg.10414	AT4G37820	AT4G37820.1
fig|3702.11.peg.10415	AT4G37830	AT4G37830.1
