fig|381124.6.peg.10026	GRMZM2G164759	GRMZM2G164759_T01
fig|381124.6.peg.10027	GRMZM2G164735	GRMZM2G164735_T02
fig|381124.6.peg.10028	GRMZM2G464539	GRMZM2G464539_T01
fig|381124.6.peg.10029	AC204252.3_FG001	AC204252.3_FGT001
fig|381124.6.peg.1003	GRMZM2G704192	GRMZM2G704192_T01
fig|381124.6.peg.10030	AC214438.3_FG002	AC214438.3_FGT002
fig|381124.6.peg.10031	GRMZM2G052357	GRMZM2G052357_T01
fig|381124.6.peg.10032	GRMZM2G085836	GRMZM2G085836_T01
fig|381124.6.peg.10033	GRMZM2G385619	GRMZM2G385619_T01
fig|381124.6.peg.10034	GRMZM2G037496	GRMZM2G037496_T01
fig|381124.6.peg.10035	GRMZM2G035563	GRMZM2G035563_T01
fig|381124.6.peg.10036	GRMZM2G316447	GRMZM2G316447_T01
fig|381124.6.peg.10037	GRMZM2G047533	GRMZM2G047533_T01
fig|381124.6.peg.10038	GRMZM2G702426	GRMZM2G702426_T01
fig|381124.6.peg.10039	GRMZM2G100492	GRMZM2G100492_T01
fig|381124.6.peg.1004	GRMZM2G113203	GRMZM2G113203_T01
fig|381124.6.peg.10040	GRMZM2G100457	GRMZM2G100457_T01
fig|381124.6.peg.10041	AC196431.2_FG001	AC196431.2_FGT001
fig|381124.6.peg.10042	GRMZM2G014612	GRMZM2G014612_T02
fig|381124.6.peg.10043	GRMZM2G163905	GRMZM2G163905_T01
fig|381124.6.peg.10044	GRMZM5G816582	GRMZM5G816582_T01
fig|381124.6.peg.10045	GRMZM5G867642	GRMZM5G867642_T01
fig|381124.6.peg.10046	GRMZM2G094526	GRMZM2G094526_T01
fig|381124.6.peg.10047	GRMZM2G101511	GRMZM2G101511_T02
fig|381124.6.peg.10048	GRMZM5G896883	GRMZM5G896883_T01
fig|381124.6.peg.10049	AC233751.1_FG002	AC233751.1_FGT002
fig|381124.6.peg.1005	GRMZM2G145446	GRMZM2G145446_T01
fig|381124.6.peg.10050	AC204690.4_FG005	AC204690.4_FGT005
fig|381124.6.peg.10051	GRMZM2G006953	GRMZM2G006953_T01
fig|381124.6.peg.10052	GRMZM2G097395	GRMZM2G097395_T01
fig|381124.6.peg.10053	GRMZM2G398135	GRMZM2G398135_T01
fig|381124.6.peg.10054	GRMZM2G100328	GRMZM2G100328_T01
fig|381124.6.peg.10055	GRMZM2G071575	GRMZM2G071575_T01
fig|381124.6.peg.10056	GRMZM2G070693	GRMZM2G070693_T03
fig|381124.6.peg.10057	GRMZM2G009904	GRMZM2G009904_T01
fig|381124.6.peg.10058	GRMZM2G060937	GRMZM2G060937_T01
fig|381124.6.peg.10059	GRMZM2G053749	GRMZM2G053749_T01
fig|381124.6.peg.1006	GRMZM2G357036	GRMZM2G357036_T01
fig|381124.6.peg.10060	GRMZM2G121631	GRMZM2G121631_T01
fig|381124.6.peg.10061	GRMZM2G139431	GRMZM2G139431_T01
fig|381124.6.peg.10062	GRMZM2G139478	GRMZM2G139478_T01
fig|381124.6.peg.10063	GRMZM5G868423	GRMZM5G868423_T01
fig|381124.6.peg.10064	GRMZM2G139513	GRMZM2G139513_T01
fig|381124.6.peg.10065	GRMZM2G139517	GRMZM2G139517_T01
fig|381124.6.peg.10066	GRMZM2G355806	GRMZM2G355806_T01
fig|381124.6.peg.10067	GRMZM2G012648	GRMZM2G012648_T01
fig|381124.6.peg.10068	GRMZM2G129304	GRMZM2G129304_T01
fig|381124.6.peg.10069	GRMZM2G095631	GRMZM2G095631_T01
fig|381124.6.peg.1007	GRMZM2G076272	GRMZM2G076272_T01
fig|381124.6.peg.10070	GRMZM2G123305	GRMZM2G123305_T01
fig|381124.6.peg.10071	GRMZM2G091243	GRMZM2G091243_T01
fig|381124.6.peg.10072	GRMZM5G821611	GRMZM5G821611_T01
fig|381124.6.peg.10073	GRMZM5G801241	GRMZM5G801241_T03
fig|381124.6.peg.10074	GRMZM5G855853	GRMZM5G855853_T02
fig|381124.6.peg.10075	GRMZM2G100583	GRMZM2G100583_T02
