fig|3055.8.peg.1	CHLREDRAFT_160450	EDO96151
fig|3055.8.peg.10	CHLREDRAFT_194578	EDO97237
fig|3055.8.peg.100	CHLREDRAFT_95438	EDP01054
fig|3055.8.peg.1000	CHLREDRAFT_195221	EDO96283
fig|3055.8.peg.10000	CHLREDRAFT_174446	EDP01133
fig|3055.8.peg.10001	CHLREDRAFT_184381	EDP01134
fig|3055.8.peg.10002	CHLREDRAFT_149097	EDP01135
fig|3055.8.peg.10003	CHLREDRAFT_118694	EDP01136
fig|3055.8.peg.10004	CHLREDRAFT_184382	EDP01137
fig|3055.8.peg.10005	CHLREDRAFT_34069	EDP01245
fig|3055.8.peg.10006	CHLREDRAFT_191510	EDP01246
fig|3055.8.peg.10007	CHLREDRAFT_191511	EDP01138
fig|3055.8.peg.10008	CHLREDRAFT_174455	EDP01247
fig|3055.8.peg.10009	CHLREDRAFT_191512	EDP01139
fig|3055.8.peg.1001	CHLREDRAFT_180688	EDO96291
fig|3055.8.peg.10010	CHLREDRAFT_149105	EDP01248
fig|3055.8.peg.10011	CHLREDRAFT_149106	EDP01249
fig|3055.8.peg.10012	CHLREDRAFT_184386	EDP01250
fig|3055.8.peg.10013	CHLREDRAFT_149108	EDP01140
fig|3055.8.peg.10014	CHLREDRAFT_149109	EDP01141
fig|3055.8.peg.10015	CHLREDRAFT_149110	EDP01142
fig|3055.8.peg.10016	CHLREDRAFT_149111	EDP01143
fig|3055.8.peg.10017	CHLREDRAFT_103962	EDP01144
fig|3055.8.peg.10018	CHLREDRAFT_191514	EDP01251
fig|3055.8.peg.10019	CHLREDRAFT_191516	EDP01145
fig|3055.8.peg.1002	CHLREDRAFT_206215	EDO99071
fig|3055.8.peg.10020	CHLREDRAFT_191517	EDP01252
fig|3055.8.peg.10021	CHLREDRAFT_130417	EDP01253
fig|3055.8.peg.10022	CHLREDRAFT_149117	EDP01255
fig|3055.8.peg.10023	CHLREDRAFT_205761	EDP01256
fig|3055.8.peg.10024	CHLREDRAFT_80348	EDP01257
fig|3055.8.peg.10025	CHLREDRAFT_174471	EDP01146
fig|3055.8.peg.10026	CHLREDRAFT_191524	EDP01147
fig|3055.8.peg.10027	CHLREDRAFT_149121	EDP01148
fig|3055.8.peg.10028	CHLREDRAFT_137868	EDP01149
fig|3055.8.peg.10029	CHLREDRAFT_158315	EDP01150
fig|3055.8.peg.1003	CHLREDRAFT_177549	EDO99013
fig|3055.8.peg.10030	CHLREDRAFT_174475	EDP01151
fig|3055.8.peg.10031	CHLREDRAFT_174476	EDP01258
fig|3055.8.peg.10032	CHLREDRAFT_191526	EDP01259
fig|3055.8.peg.10033	CHLREDRAFT_118761	EDP01260
fig|3055.8.peg.10034	CHLREDRAFT_174480	EDP01152
fig|3055.8.peg.10035	CHLREDRAFT_174481	EDP01261
fig|3055.8.peg.10036	CHLREDRAFT_118729	EDP01262
fig|3055.8.peg.10037	CHLREDRAFT_149134	EDP01263
fig|3055.8.peg.10038	CHLREDRAFT_149135	EDP01153
fig|3055.8.peg.10039	CHLREDRAFT_184397	EDP01264
fig|3055.8.peg.1004	CHLREDRAFT_121177	EDO99014
fig|3055.8.peg.10040	CHLREDRAFT_174486	EDP01265
