fig|4558.4.peg.10032	Sb07g028280	Sb07g028280.1
fig|4558.4.peg.10033	Sb07g028290	Sb07g028290.1
fig|4558.4.peg.10034	Sb07g028300	Sb07g028300.1
fig|4558.4.peg.10035	Sb07g028310	Sb07g028310.1
fig|4558.4.peg.10036	Sb07g028320	Sb07g028320.1
fig|4558.4.peg.10037	Sb07g028330	Sb07g028330.1
fig|4558.4.peg.10038	Sb07g028340	Sb07g028340.1
fig|4558.4.peg.10039	Sb07g028350	Sb07g028350.1
fig|4558.4.peg.1004	Sb10g008655	Sb10g008655.1
fig|4558.4.peg.10040	Sb07g028360	Sb07g028360.1
fig|4558.4.peg.10041	Sb07g028370	Sb07g028370.1
fig|4558.4.peg.10042	Sb07g028380	Sb07g028380.1
fig|4558.4.peg.10043	Sb07g028390	Sb07g028390.1
fig|4558.4.peg.10044	Sb07g028400	Sb07g028400.1
fig|4558.4.peg.10045	Sb07g028410	Sb07g028410.1
fig|4558.4.peg.10046	Sb07g028420	Sb07g028420.1
fig|4558.4.peg.10047	Sb07g028430	Sb07g028430.1
fig|4558.4.peg.10048	Sb07g028440	Sb07g028440.1
fig|4558.4.peg.10049	Sb07g028450	Sb07g028450.1
fig|4558.4.peg.1005	Sb10g008660	Sb10g008660.1
fig|4558.4.peg.10050	Sb07g028460	Sb07g028460.1
fig|4558.4.peg.10051	Sb07g028470	Sb07g028470.1
fig|4558.4.peg.10052	Sb07g028475	Sb07g028475.1
fig|4558.4.peg.10053	Sb07g028480	Sb07g028480.1
fig|4558.4.peg.10054	Sb07g028490	Sb07g028490.1
fig|4558.4.peg.10055	Sb07g028500	Sb07g028500.1
fig|4558.4.peg.10056	Sb07g028510	Sb07g028510.1
fig|4558.4.peg.10057	Sb07g028520	Sb07g028520.1
fig|4558.4.peg.10058	Sb07g028525	Sb07g028525.1
fig|4558.4.peg.10059	Sb07g028530	Sb07g028530.1
fig|4558.4.peg.1006	Sb10g008662	Sb10g008662.1
fig|4558.4.peg.10060	Sb07g028540	Sb07g028540.1
fig|4558.4.peg.10061	Sb07g028550	Sb07g028550.1
fig|4558.4.peg.10062	Sb07g028560	Sb07g028560.1
fig|4558.4.peg.10063	Sb07g028570	Sb07g028570.1
fig|4558.4.peg.10064	Sb07g028580	Sb07g028580.1
fig|4558.4.peg.10065	Sb07g028590	Sb07g028590.1
fig|4558.4.peg.10066	Sb07g028600	Sb07g028600.1
fig|4558.4.peg.10067	Sb07g028605	Sb07g028605.1
fig|4558.4.peg.10068	Sb07g028610	Sb07g028610.1
fig|4558.4.peg.10069	Sb07g028615	Sb07g028615.1
fig|4558.4.peg.1007	Sb10g008665	Sb10g008665.1
fig|4558.4.peg.10070	Sb07g028620	Sb07g028620.1
fig|4558.4.peg.10071	Sb07g028630	Sb07g028630.1
fig|4558.4.peg.10072	Sb07g028640	Sb07g028640.1
fig|4558.4.peg.10073	Sb07g028650	Sb07g028650.1
fig|4558.4.peg.10074	Sb07g028660	Sb07g028660.1
fig|4558.4.peg.10075	Sb07g028670	Sb07g028670.1
fig|4558.4.peg.10076	Sb07g028675	Sb07g028675.1
fig|4558.4.peg.10077	Sb07g028680	Sb07g028680.1
fig|4558.4.peg.10078	Sb07g028685	Sb07g028685.1
fig|4558.4.peg.10079	Sb07g028690	Sb07g028690.1
fig|4558.4.peg.1008	Sb10g008667	Sb10g008667.1
fig|4558.4.peg.10080	Sb07g028700	Sb07g028700.1
