fig|29760.3.peg.1	Vv09s0002g00020	Vv09s0002g00020.t01
fig|29760.3.peg.10	Vv09s0002g00480	Vv09s0002g00480.t01
fig|29760.3.peg.100	Vv09s0002g01080	Vv09s0002g01080.t01
fig|29760.3.peg.1000	Vv09s0018g00440	Vv09s0018g00440.t01
fig|29760.3.peg.10000	Vv03s0097g00240	Vv03s0097g00240.t01
fig|29760.3.peg.10001	Vv03s0097g00250	Vv03s0097g00250.t01
fig|29760.3.peg.10002	Vv03s0097g00280	Vv03s0097g00280.t01
fig|29760.3.peg.10003	Vv03s0097g00290	Vv03s0097g00290.t01
fig|29760.3.peg.10004	Vv03s0097g00300	Vv03s0097g00300.t01
fig|29760.3.peg.10005	Vv03s0097g00330	Vv03s0097g00330.t01
fig|29760.3.peg.10006	Vv03s0097g00340	Vv03s0097g00340.t01
fig|29760.3.peg.10007	Vv03s0097g00350	Vv03s0097g00350.t01
fig|29760.3.peg.10008	Vv03s0097g00360	Vv03s0097g00360.t01
fig|29760.3.peg.10009	Vv03s0097g00370	Vv03s0097g00370.t01
fig|29760.3.peg.1001	Vv09s0018g00470	Vv09s0018g00470.t01
fig|29760.3.peg.10010	Vv03s0097g00380	Vv03s0097g00380.t01
fig|29760.3.peg.10011	Vv03s0097g00390	Vv03s0097g00390.t01
fig|29760.3.peg.10012	Vv03s0097g00400	Vv03s0097g00400.t01
fig|29760.3.peg.10013	Vv03s0097g00410	Vv03s0097g00410.t01
fig|29760.3.peg.10014	Vv03s0097g00450	Vv03s0097g00450.t01
fig|29760.3.peg.10015	Vv03s0097g00460	Vv03s0097g00460.t01
fig|29760.3.peg.10016	Vv03s0097g00470	Vv03s0097g00470.t01
fig|29760.3.peg.10017	Vv03s0097g00490	Vv03s0097g00490.t01
fig|29760.3.peg.10018	Vv03s0097g00510	Vv03s0097g00510.t01
fig|29760.3.peg.10019	Vv03s0097g00520	Vv03s0097g00520.t01
fig|29760.3.peg.1002	Vv09s0018g00480	Vv09s0018g00480.t01
fig|29760.3.peg.10020	Vv03s0097g00530	Vv03s0097g00530.t01
fig|29760.3.peg.10021	Vv03s0097g00540	Vv03s0097g00540.t01
fig|29760.3.peg.10022	Vv03s0097g00550	Vv03s0097g00550.t01
fig|29760.3.peg.10023	Vv03s0097g00560	Vv03s0097g00560.t01
fig|29760.3.peg.10024	Vv03s0097g00570	Vv03s0097g00570.t01
fig|29760.3.peg.10025	Vv03s0097g00580	Vv03s0097g00580.t01
fig|29760.3.peg.10026	Vv03s0097g00590	Vv03s0097g00590.t01
fig|29760.3.peg.10027	Vv03s0097g00600	Vv03s0097g00600.t01
fig|29760.3.peg.10028	Vv03s0097g00610	Vv03s0097g00610.t01
fig|29760.3.peg.10029	Vv03s0097g00620	Vv03s0097g00620.t01
fig|29760.3.peg.1003	Vv09s0018g00490	Vv09s0018g00490.t01
fig|29760.3.peg.10030	Vv03s0097g00660	Vv03s0097g00660.t01
