fig|39947.4.peg.1	LOC_Os01g01010	LOC_Os01g01010.1
fig|39947.4.peg.10	LOC_Os01g01100	LOC_Os01g01100.1
fig|39947.4.peg.100	LOC_Os01g02010	LOC_Os01g02010.1
fig|39947.4.peg.1000	LOC_Os01g11370	LOC_Os01g11370.1
fig|39947.4.peg.10000	LOC_Os02g35960	LOC_Os02g35960.1
fig|39947.4.peg.10001	LOC_Os02g35970	LOC_Os02g35970.1
fig|39947.4.peg.10002	LOC_Os02g35980	LOC_Os02g35980.1
fig|39947.4.peg.10003	LOC_Os02g36000	LOC_Os02g36000.1
fig|39947.4.peg.10004	LOC_Os02g36010	LOC_Os02g36010.1
fig|39947.4.peg.10005	LOC_Os02g36020	LOC_Os02g36020.1
fig|39947.4.peg.10006	LOC_Os02g36030	LOC_Os02g36030.1
fig|39947.4.peg.10007	LOC_Os02g36040	LOC_Os02g36040.1
fig|39947.4.peg.10008	LOC_Os02g36050	LOC_Os02g36050.1
fig|39947.4.peg.10009	LOC_Os02g36060	LOC_Os02g36060.1
fig|39947.4.peg.1001	LOC_Os01g11390	LOC_Os01g11390.1
fig|39947.4.peg.10010	LOC_Os02g36070	LOC_Os02g36070.1
fig|39947.4.peg.10011	LOC_Os02g36080	LOC_Os02g36080.1
fig|39947.4.peg.10012	LOC_Os02g36090	LOC_Os02g36090.1
fig|39947.4.peg.10013	LOC_Os02g36100	LOC_Os02g36100.1
fig|39947.4.peg.10014	LOC_Os02g36110	LOC_Os02g36110.1
fig|39947.4.peg.10015	LOC_Os02g36120	LOC_Os02g36120.1
fig|39947.4.peg.10016	LOC_Os02g36130	LOC_Os02g36130.1
fig|39947.4.peg.10017	LOC_Os02g36140	LOC_Os02g36140.2
fig|39947.4.peg.10018	LOC_Os02g36150	LOC_Os02g36150.1
fig|39947.4.peg.10019	LOC_Os02g36160	LOC_Os02g36160.1
fig|39947.4.peg.1002	LOC_Os01g11400	LOC_Os01g11400.1
fig|39947.4.peg.10020	LOC_Os02g36170	LOC_Os02g36170.1
fig|39947.4.peg.10021	LOC_Os02g36180	LOC_Os02g36180.1
fig|39947.4.peg.10022	LOC_Os02g36190	LOC_Os02g36190.1
fig|39947.4.peg.10023	LOC_Os02g36200	LOC_Os02g36200.1
fig|39947.4.peg.10024	LOC_Os02g36210	LOC_Os02g36210.1
fig|39947.4.peg.10025	LOC_Os02g36220	LOC_Os02g36220.1
fig|39947.4.peg.10026	LOC_Os02g36230	LOC_Os02g36230.1
fig|39947.4.peg.10027	LOC_Os02g36239	LOC_Os02g36239.1
fig|39947.4.peg.10028	LOC_Os02g36250	LOC_Os02g36250.1
fig|39947.4.peg.10029	LOC_Os02g36264	LOC_Os02g36264.1
fig|39947.4.peg.1003	LOC_Os01g11414	LOC_Os01g11414.1
fig|39947.4.peg.10030	LOC_Os02g36280	LOC_Os02g36280.1
fig|39947.4.peg.10031	LOC_Os02g36285	LOC_Os02g36285.1
fig|39947.4.peg.10032	LOC_Os02g36290	LOC_Os02g36290.1
fig|39947.4.peg.10033	LOC_Os02g36300	LOC_Os02g36300.1
fig|39947.4.peg.10034	LOC_Os02g36310	LOC_Os02g36310.1
fig|39947.4.peg.10035	LOC_Os02g36320	LOC_Os02g36320.1
fig|39947.4.peg.10036	LOC_Os02g36330	LOC_Os02g36330.1
fig|39947.4.peg.10037	LOC_Os02g36340	LOC_Os02g36340.1
fig|39947.4.peg.10038	LOC_Os02g36350	LOC_Os02g36350.1
fig|39947.4.peg.10039	LOC_Os02g36360	LOC_Os02g36360.1
fig|39947.4.peg.1004	LOC_Os01g11430	LOC_Os01g11430.1
fig|39947.4.peg.10040	LOC_Os02g36370	LOC_Os02g36370.1
fig|39947.4.peg.10041	LOC_Os02g36380	LOC_Os02g36380.1
fig|39947.4.peg.10042	LOC_Os02g36390	LOC_Os02g36390.1
fig|39947.4.peg.10043	LOC_Os02g36400	LOC_Os02g36400.1
fig|39947.4.peg.10044	LOC_Os02g36414	LOC_Os02g36414.1
fig|39947.4.peg.10045	LOC_Os02g36430	LOC_Os02g36430.1
fig|39947.4.peg.10046	LOC_Os02g36440	LOC_Os02g36440.1
fig|39947.4.peg.10047	LOC_Os02g36450	LOC_Os02g36450.1
fig|39947.4.peg.10048	LOC_Os02g36460	LOC_Os02g36460.1
fig|39947.4.peg.10049	LOC_Os02g36470	LOC_Os02g36470.1
fig|39947.4.peg.1005	LOC_Os01g11450	LOC_Os01g11450.1
fig|39947.4.peg.10050	LOC_Os02g36480	LOC_Os02g36480.1
fig|39947.4.peg.10051	LOC_Os02g36490	LOC_Os02g36490.2
fig|39947.4.peg.10052	LOC_Os02g36500	LOC_Os02g36500.1
fig|39947.4.peg.10053	LOC_Os02g36505	LOC_Os02g36505.1
fig|39947.4.peg.10054	LOC_Os02g36510	LOC_Os02g36510.1
fig|39947.4.peg.10055	LOC_Os02g36520	LOC_Os02g36520.1
fig|39947.4.peg.10056	LOC_Os02g36530	LOC_Os02g36530.1
fig|39947.4.peg.10057	LOC_Os02g36540	LOC_Os02g36540.1
fig|39947.4.peg.10058	LOC_Os02g36550	LOC_Os02g36550.1
fig|39947.4.peg.10059	LOC_Os02g36560	LOC_Os02g36560.1
fig|39947.4.peg.1006	LOC_Os01g11460	LOC_Os01g11460.1
fig|39947.4.peg.10060	LOC_Os02g36570	LOC_Os02g36570.1
fig|39947.4.peg.10061	LOC_Os02g36580	LOC_Os02g36580.1
fig|39947.4.peg.10062	LOC_Os02g36590	LOC_Os02g36590.1
fig|39947.4.peg.10063	LOC_Os02g36595	LOC_Os02g36595.1
fig|39947.4.peg.10064	LOC_Os02g36600	LOC_Os02g36600.1
fig|39947.4.peg.10065	LOC_Os02g36619	LOC_Os02g36619.1
fig|39947.4.peg.10066	LOC_Os02g36640	LOC_Os02g36640.1
fig|39947.4.peg.10067	LOC_Os02g36650	LOC_Os02g36650.1
fig|39947.4.peg.10068	LOC_Os02g36660	LOC_Os02g36660.1
fig|39947.4.peg.10069	LOC_Os02g36670	LOC_Os02g36670.1
fig|39947.4.peg.1007	LOC_Os01g11470	LOC_Os01g11470.1
fig|39947.4.peg.10070	LOC_Os02g36680	LOC_Os02g36680.1
fig|39947.4.peg.10071	LOC_Os02g36690	LOC_Os02g36690.1
fig|39947.4.peg.10072	LOC_Os02g36700	LOC_Os02g36700.1
fig|39947.4.peg.10073	LOC_Os02g36710	LOC_Os02g36710.1
fig|39947.4.peg.10074	LOC_Os02g36720	LOC_Os02g36720.1
fig|39947.4.peg.10075	LOC_Os02g36730	LOC_Os02g36730.1
fig|39947.4.peg.10076	LOC_Os02g36740	LOC_Os02g36740.8
fig|39947.4.peg.10077	LOC_Os02g36749	LOC_Os02g36749.1
fig|39947.4.peg.10078	LOC_Os02g36760	LOC_Os02g36760.1
fig|39947.4.peg.10079	LOC_Os02g36770	LOC_Os02g36770.1
fig|39947.4.peg.1008	LOC_Os01g11480	LOC_Os01g11480.1
fig|39947.4.peg.10080	LOC_Os02g36780	LOC_Os02g36780.1
fig|39947.4.peg.10081	LOC_Os02g36790	LOC_Os02g36790.1
fig|39947.4.peg.10082	LOC_Os02g36800	LOC_Os02g36800.1
fig|39947.4.peg.10083	LOC_Os02g36810	LOC_Os02g36810.1
fig|39947.4.peg.10084	LOC_Os02g36820	LOC_Os02g36820.1
fig|39947.4.peg.10085	LOC_Os02g36830	LOC_Os02g36830.1
fig|39947.4.peg.10086	LOC_Os02g36840	LOC_Os02g36840.1
