fig|4538.3.peg.1	ORGLA10G0000100	ORGLA10G0000100.1
fig|4538.3.peg.10	ORGLA10G0001000	ORGLA10G0001000.1
fig|4538.3.peg.100	ORGLA10G0010000	ORGLA10G0010000.1
fig|4538.3.peg.1000	ORGLA10G0100000	ORGLA10G0100000.1
fig|4538.3.peg.10000	ORGLA02G0081100	ORGLA02G0081100.1
fig|4538.3.peg.10001	ORGLA02G0081200	ORGLA02G0081200.1
fig|4538.3.peg.10002	ORGLA02G0081300	ORGLA02G0081300.1
fig|4538.3.peg.10003	ORGLA02G0081400	ORGLA02G0081400.1
fig|4538.3.peg.10004	ORGLA02G0081500	ORGLA02G0081500.1
fig|4538.3.peg.10005	ORGLA02G0081600	ORGLA02G0081600.1
fig|4538.3.peg.10006	ORGLA02G0081700	ORGLA02G0081700.1
fig|4538.3.peg.10007	ORGLA02G0081800	ORGLA02G0081800.1
fig|4538.3.peg.10008	ORGLA02G0081900	ORGLA02G0081900.1
fig|4538.3.peg.10009	ORGLA02G0082000	ORGLA02G0082000.1
fig|4538.3.peg.1001	ORGLA10G0100100	ORGLA10G0100100.1
fig|4538.3.peg.10010	ORGLA02G0082100	ORGLA02G0082100.1
fig|4538.3.peg.10011	ORGLA02G0082200	ORGLA02G0082200.1
fig|4538.3.peg.10012	ORGLA02G0082300	ORGLA02G0082300.1
fig|4538.3.peg.10013	ORGLA02G0082400	ORGLA02G0082400.1
fig|4538.3.peg.10014	ORGLA02G0082500	ORGLA02G0082500.1
fig|4538.3.peg.10015	ORGLA02G0082600	ORGLA02G0082600.1
fig|4538.3.peg.10016	ORGLA02G0082700	ORGLA02G0082700.1
fig|4538.3.peg.10017	ORGLA02G0082800	ORGLA02G0082800.1
fig|4538.3.peg.10018	ORGLA02G0082900	ORGLA02G0082900.1
fig|4538.3.peg.10019	ORGLA02G0083000	ORGLA02G0083000.1
fig|4538.3.peg.1002	ORGLA10G0100200	ORGLA10G0100200.1
fig|4538.3.peg.10020	ORGLA02G0083100	ORGLA02G0083100.1
fig|4538.3.peg.10021	ORGLA02G0083200	ORGLA02G0083200.1
fig|4538.3.peg.10022	ORGLA02G0083300	ORGLA02G0083300.1
fig|4538.3.peg.10023	ORGLA02G0083400	ORGLA02G0083400.1
fig|4538.3.peg.10024	ORGLA02G0083500	ORGLA02G0083500.1
fig|4538.3.peg.10025	ORGLA02G0083600	ORGLA02G0083600.1
fig|4538.3.peg.10026	ORGLA02G0083700	ORGLA02G0083700.1
fig|4538.3.peg.10027	ORGLA02G0083800	ORGLA02G0083800.1
fig|4538.3.peg.10028	ORGLA02G0083900	ORGLA02G0083900.1
fig|4538.3.peg.10029	ORGLA02G0084000	ORGLA02G0084000.1
fig|4538.3.peg.1003	ORGLA10G0100300	ORGLA10G0100300.1
fig|4538.3.peg.10030	ORGLA02G0084100	ORGLA02G0084100.1
fig|4538.3.peg.10031	ORGLA02G0084200	ORGLA02G0084200.1
fig|4538.3.peg.10032	ORGLA02G0084300	ORGLA02G0084300.1
fig|4538.3.peg.10033	ORGLA02G0084400	ORGLA02G0084400.1
