fig|3694.3.peg.1	POPTR_3119s00200	POPTR_3119s00200.1
fig|3694.3.peg.10	POPTR_2796s00200	POPTR_2796s00200.1
fig|3694.3.peg.100	POPTR_2047s00200	POPTR_2047s00200.1
fig|3694.3.peg.1000	POPTR_0344s00210	POPTR_0344s00210.1
fig|3694.3.peg.10000	POPTR_0014s04610	POPTR_0014s04610.1
fig|3694.3.peg.10001	POPTR_0014s04620	POPTR_0014s04620.1
fig|3694.3.peg.10002	POPTR_0014s04630	POPTR_0014s04630.1
fig|3694.3.peg.10003	POPTR_0014s04640	POPTR_0014s04640.1
fig|3694.3.peg.10004	POPTR_0014s04650	POPTR_0014s04650.1
fig|3694.3.peg.10005	POPTR_0014s04660	POPTR_0014s04660.1
fig|3694.3.peg.10006	POPTR_0014s04670	POPTR_0014s04670.1
fig|3694.3.peg.10007	POPTR_0014s04680	POPTR_0014s04680.1
fig|3694.3.peg.10008	POPTR_0014s04690	POPTR_0014s04690.1
fig|3694.3.peg.10009	POPTR_0014s04700	POPTR_0014s04700.1
fig|3694.3.peg.1001	POPTR_0343s00200	POPTR_0343s00200.1
fig|3694.3.peg.10010	POPTR_0014s04710	POPTR_0014s04710.1
fig|3694.3.peg.10011	POPTR_0014s04720	POPTR_0014s04720.1
fig|3694.3.peg.10012	POPTR_0014s04730	POPTR_0014s04730.1
fig|3694.3.peg.10013	POPTR_0014s04740	POPTR_0014s04740.1
fig|3694.3.peg.10014	POPTR_0014s04750	POPTR_0014s04750.1
fig|3694.3.peg.10015	POPTR_0014s04760	POPTR_0014s04760.1
fig|3694.3.peg.10016	POPTR_0014s04770	POPTR_0014s04770.1
fig|3694.3.peg.10017	POPTR_0014s04780	POPTR_0014s04780.1
fig|3694.3.peg.10018	POPTR_0014s04790	POPTR_0014s04790.1
fig|3694.3.peg.10019	POPTR_0014s04800	POPTR_0014s04800.1
fig|3694.3.peg.1002	POPTR_0341s00200	POPTR_0341s00200.1
fig|3694.3.peg.10020	POPTR_0014s04810	POPTR_0014s04810.1
fig|3694.3.peg.10021	POPTR_0014s04820	POPTR_0014s04820.2
fig|3694.3.peg.10022	POPTR_0014s04830	POPTR_0014s04830.1
fig|3694.3.peg.10023	POPTR_0014s04840	POPTR_0014s04840.1
fig|3694.3.peg.10024	POPTR_0014s04850	POPTR_0014s04850.1
fig|3694.3.peg.10025	POPTR_0014s04860	POPTR_0014s04860.1
fig|3694.3.peg.10026	POPTR_0014s04870	POPTR_0014s04870.4
fig|3694.3.peg.10027	POPTR_0014s04880	POPTR_0014s04880.1
fig|3694.3.peg.10028	POPTR_0014s04890	POPTR_0014s04890.1
fig|3694.3.peg.10029	POPTR_0014s04900	POPTR_0014s04900.1
fig|3694.3.peg.1003	POPTR_0341s00210	POPTR_0341s00210.1
fig|3694.3.peg.10030	POPTR_0014s04910	POPTR_0014s04910.1
fig|3694.3.peg.10031	POPTR_0014s04920	POPTR_0014s04920.1
fig|3694.3.peg.10032	POPTR_0014s04930	POPTR_0014s04930.1
fig|3694.3.peg.10033	POPTR_0014s04940	POPTR_0014s04940.1
fig|3694.3.peg.10034	POPTR_0014s04950	POPTR_0014s04950.1
fig|3694.3.peg.10035	POPTR_0014s04960	POPTR_0014s04960.1
fig|3694.3.peg.10036	POPTR_0014s04970	POPTR_0014s04970.1
fig|3694.3.peg.10037	POPTR_0014s04980	POPTR_0014s04980.1
fig|3694.3.peg.10038	POPTR_0014s04990	POPTR_0014s04990.1
fig|3694.3.peg.10039	POPTR_0014s05000	POPTR_0014s05000.1
fig|3694.3.peg.1004	POPTR_0340s00200	POPTR_0340s00200.1
fig|3694.3.peg.10040	POPTR_0014s05010	POPTR_0014s05010.1
fig|3694.3.peg.10041	POPTR_0014s05020	POPTR_0014s05020.1
fig|3694.3.peg.10042	POPTR_0014s05030	POPTR_0014s05030.1
fig|3694.3.peg.10043	POPTR_0014s05040	POPTR_0014s05040.1
fig|3694.3.peg.10044	POPTR_0014s05050	POPTR_0014s05050.1
fig|3694.3.peg.10045	POPTR_0014s05060	POPTR_0014s05060.1
fig|3694.3.peg.10046	POPTR_0014s05070	POPTR_0014s05070.1
fig|3694.3.peg.10047	POPTR_0014s05080	POPTR_0014s05080.1
fig|3694.3.peg.10048	POPTR_0014s05090	POPTR_0014s05090.1
fig|3694.3.peg.10049	POPTR_0014s05100	POPTR_0014s05100.1
fig|3694.3.peg.1005	POPTR_0340s00210	POPTR_0340s00210.1
fig|3694.3.peg.10050	POPTR_0014s05110	POPTR_0014s05110.1
fig|3694.3.peg.10051	POPTR_0014s05120	POPTR_0014s05120.1
fig|3694.3.peg.10052	POPTR_0014s05130	POPTR_0014s05130.1
fig|3694.3.peg.10053	POPTR_0014s05140	POPTR_0014s05140.1
fig|3694.3.peg.10054	POPTR_0014s05150	POPTR_0014s05150.1
fig|3694.3.peg.10055	POPTR_0014s05160	POPTR_0014s05160.1
fig|3694.3.peg.10056	POPTR_0014s05170	POPTR_0014s05170.1
fig|3694.3.peg.10057	POPTR_0014s05180	POPTR_0014s05180.1
fig|3694.3.peg.10058	POPTR_0014s05190	POPTR_0014s05190.1
fig|3694.3.peg.10059	POPTR_0014s05200	POPTR_0014s05200.1
fig|3694.3.peg.1006	POPTR_0339s00200	POPTR_0339s00200.1
fig|3694.3.peg.10060	POPTR_0014s05210	POPTR_0014s05210.1
fig|3694.3.peg.10061	POPTR_0014s05220	POPTR_0014s05220.1
fig|3694.3.peg.10062	POPTR_0014s05230	POPTR_0014s05230.1
fig|3694.3.peg.10063	POPTR_0014s05240	POPTR_0014s05240.1
fig|3694.3.peg.10064	POPTR_0014s05250	POPTR_0014s05250.1
fig|3694.3.peg.10065	POPTR_0014s05260	POPTR_0014s05260.1
fig|3694.3.peg.10066	POPTR_0014s05270	POPTR_0014s05270.1
fig|3694.3.peg.10067	POPTR_0014s05280	POPTR_0014s05280.1
fig|3694.3.peg.10068	POPTR_0014s05290	POPTR_0014s05290.1
fig|3694.3.peg.10069	POPTR_0014s05300	POPTR_0014s05300.1
fig|3694.3.peg.1007	POPTR_0337s00200	POPTR_0337s00200.1
fig|3694.3.peg.10070	POPTR_0014s05310	POPTR_0014s05310.1
fig|3694.3.peg.10071	POPTR_0014s05320	POPTR_0014s05320.1
fig|3694.3.peg.10072	POPTR_0014s05330	POPTR_0014s05330.1
fig|3694.3.peg.10073	POPTR_0014s05340	POPTR_0014s05340.1
fig|3694.3.peg.10074	POPTR_0014s05350	POPTR_0014s05350.1
fig|3694.3.peg.10075	POPTR_0014s05360	POPTR_0014s05360.1
fig|3694.3.peg.10076	POPTR_0014s05370	POPTR_0014s05370.1
fig|3694.3.peg.10077	POPTR_0014s05380	POPTR_0014s05380.1
fig|3694.3.peg.10078	POPTR_0014s05390	POPTR_0014s05390.1
fig|3694.3.peg.10079	POPTR_0014s05400	POPTR_0014s05400.1
fig|3694.3.peg.1008	POPTR_0337s00210	POPTR_0337s00210.1
fig|3694.3.peg.10080	POPTR_0014s05410	POPTR_0014s05410.1
fig|3694.3.peg.10081	POPTR_0014s05420	POPTR_0014s05420.1
fig|3694.3.peg.10082	POPTR_0014s05430	POPTR_0014s05430.1
fig|3694.3.peg.10083	POPTR_0014s05440	POPTR_0014s05440.1
fig|3694.3.peg.10084	POPTR_0014s05450	POPTR_0014s05450.1
fig|3694.3.peg.10085	POPTR_0014s05460	POPTR_0014s05460.1
fig|3694.3.peg.10086	POPTR_0014s05470	POPTR_0014s05470.1
fig|3694.3.peg.10087	POPTR_0014s05480	POPTR_0014s05480.1
fig|3694.3.peg.10088	POPTR_0014s05490	POPTR_0014s05490.1
fig|3694.3.peg.10089	POPTR_0014s05500	POPTR_0014s05500.1
fig|3694.3.peg.1009	POPTR_0337s00220	POPTR_0337s00220.1
fig|3694.3.peg.10090	POPTR_0014s05510	POPTR_0014s05510.1
fig|3694.3.peg.10091	POPTR_0014s05520	POPTR_0014s05520.1
fig|3694.3.peg.10092	POPTR_0014s05530	POPTR_0014s05530.1
fig|3694.3.peg.10093	POPTR_0014s05540	POPTR_0014s05540.1
