fig|15368.4.peg.1	BRADI0098S00200	BRADI0098S00200.5
fig|15368.4.peg.10	BRADI0023S00210	BRADI0023S00210.2
fig|15368.4.peg.100	BRADI5G01050	BRADI5G01050.1
fig|15368.4.peg.1000	BRADI5G12570	BRADI5G12570.1
fig|15368.4.peg.10000	BRADI3G33560	BRADI3G33560.1
fig|15368.4.peg.10001	BRADI3G33570	BRADI3G33570.1
fig|15368.4.peg.10002	BRADI3G33580	BRADI3G33580.1
fig|15368.4.peg.10003	BRADI3G33590	BRADI3G33590.1
fig|15368.4.peg.10004	BRADI3G33600	BRADI3G33600.1
fig|15368.4.peg.10005	BRADI3G33610	BRADI3G33610.1
fig|15368.4.peg.10006	BRADI3G33620	BRADI3G33620.1
fig|15368.4.peg.10007	BRADI3G33630	BRADI3G33630.1
fig|15368.4.peg.10008	BRADI3G33640	BRADI3G33640.1
fig|15368.4.peg.10009	BRADI3G33650	BRADI3G33650.1
fig|15368.4.peg.1001	BRADI5G12580	BRADI5G12580.1
fig|15368.4.peg.10010	BRADI3G33660	BRADI3G33660.1
fig|15368.4.peg.10011	BRADI3G33670	BRADI3G33670.1
fig|15368.4.peg.10012	BRADI3G33680	BRADI3G33680.1
fig|15368.4.peg.10013	BRADI3G33690	BRADI3G33690.1
fig|15368.4.peg.10014	BRADI3G33700	BRADI3G33700.1
fig|15368.4.peg.10015	BRADI3G33710	BRADI3G33710.1
fig|15368.4.peg.10016	BRADI3G33716	BRADI3G33716.1
fig|15368.4.peg.10017	BRADI3G33722	BRADI3G33722.1
fig|15368.4.peg.10018	BRADI3G33730	BRADI3G33730.1
fig|15368.4.peg.10019	BRADI3G33737	BRADI3G33737.1
fig|15368.4.peg.1002	BRADI5G12590	BRADI5G12590.1
fig|15368.4.peg.10020	BRADI3G33750	BRADI3G33750.1
fig|15368.4.peg.10021	BRADI3G33760	BRADI3G33760.1
fig|15368.4.peg.10022	BRADI3G33770	BRADI3G33770.1
fig|15368.4.peg.10023	BRADI3G33780	BRADI3G33780.1
fig|15368.4.peg.10024	BRADI3G33790	BRADI3G33790.1
fig|15368.4.peg.10025	BRADI3G33800	BRADI3G33800.1
fig|15368.4.peg.10026	BRADI3G33810	BRADI3G33810.1
fig|15368.4.peg.10027	BRADI3G33820	BRADI3G33820.1
fig|15368.4.peg.10028	BRADI3G33830	BRADI3G33830.1
fig|15368.4.peg.10029	BRADI3G33840	BRADI3G33840.1
