fig|3847.5.peg.1009	GLYMA01G26350	GLYMA01G26350.1
fig|3847.5.peg.10090	GLYMA04G40283	GLYMA04G40283.1
fig|3847.5.peg.10091	GLYMA04G40290	GLYMA04G40290.1
fig|3847.5.peg.10092	GLYMA04G40300	GLYMA04G40300.2
fig|3847.5.peg.10093	GLYMA04G40310	GLYMA04G40310.2
fig|3847.5.peg.10094	GLYMA04G40325	GLYMA04G40325.1
fig|3847.5.peg.10095	GLYMA04G40340	GLYMA04G40340.2
fig|3847.5.peg.10096	GLYMA04G40350	GLYMA04G40350.1
fig|3847.5.peg.10097	GLYMA04G40360	GLYMA04G40360.1
fig|3847.5.peg.10098	GLYMA04G40370	GLYMA04G40370.1
fig|3847.5.peg.10099	GLYMA04G40381	GLYMA04G40381.1
fig|3847.5.peg.101	GLYMA01G01360	GLYMA01G01360.1
fig|3847.5.peg.1010	GLYMA01G26360	GLYMA01G26360.2
fig|3847.5.peg.10100	GLYMA04G40391	GLYMA04G40391.1
fig|3847.5.peg.10101	GLYMA04G40400	GLYMA04G40400.3
fig|3847.5.peg.10102	GLYMA04G40406	GLYMA04G40406.1
fig|3847.5.peg.10103	GLYMA04G40413	GLYMA04G40413.1
fig|3847.5.peg.10104	GLYMA04G40420	GLYMA04G40420.1
fig|3847.5.peg.10105	GLYMA04G40430	GLYMA04G40430.2
fig|3847.5.peg.10106	GLYMA04G40440	GLYMA04G40440.1
fig|3847.5.peg.10107	GLYMA04G40450	GLYMA04G40450.1
fig|3847.5.peg.10108	GLYMA04G40460	GLYMA04G40460.1
fig|3847.5.peg.10109	GLYMA04G40470	GLYMA04G40470.1
fig|3847.5.peg.1011	GLYMA01G26570	GLYMA01G26570.1
fig|3847.5.peg.10110	GLYMA04G40500	GLYMA04G40500.1
fig|3847.5.peg.10111	GLYMA04G40520	GLYMA04G40520.2
fig|3847.5.peg.10112	GLYMA04G40530	GLYMA04G40530.1
fig|3847.5.peg.10113	GLYMA04G40540	GLYMA04G40540.1
fig|3847.5.peg.10114	GLYMA04G40550	GLYMA04G40550.1
fig|3847.5.peg.10115	GLYMA04G40560	GLYMA04G40560.1
fig|3847.5.peg.10116	GLYMA04G40570	GLYMA04G40570.2
fig|3847.5.peg.10117	GLYMA04G40580	GLYMA04G40580.1
fig|3847.5.peg.10118	GLYMA04G40591	GLYMA04G40591.1
fig|3847.5.peg.10119	GLYMA04G40600	GLYMA04G40600.4
fig|3847.5.peg.1012	GLYMA01G26580	GLYMA01G26580.1
fig|3847.5.peg.10120	GLYMA04G40605	GLYMA04G40605.1
fig|3847.5.peg.10121	GLYMA04G40610	GLYMA04G40610.1
fig|3847.5.peg.10122	GLYMA04G40620	GLYMA04G40620.1
fig|3847.5.peg.10123	GLYMA04G40630	GLYMA04G40630.1
fig|3847.5.peg.10124	GLYMA04G40640	GLYMA04G40640.1
fig|3847.5.peg.10125	GLYMA04G40650	GLYMA04G40650.1
fig|3847.5.peg.10126	GLYMA04G40661	GLYMA04G40661.1
fig|3847.5.peg.10127	GLYMA04G40670	GLYMA04G40670.2
fig|3847.5.peg.10128	GLYMA04G40680	GLYMA04G40680.1
fig|3847.5.peg.10129	GLYMA04G40690	GLYMA04G40690.1
fig|3847.5.peg.1013	GLYMA01G26590	GLYMA01G26590.2
fig|3847.5.peg.10130	GLYMA04G40700	GLYMA04G40700.1
fig|3847.5.peg.10131	GLYMA04G40710	GLYMA04G40710.1
fig|3847.5.peg.10132	GLYMA04G40720	GLYMA04G40720.1
fig|3847.5.peg.10133	GLYMA04G40730	GLYMA04G40730.1
fig|3847.5.peg.10134	GLYMA04G40740	GLYMA04G40740.5
fig|3847.5.peg.10135	GLYMA04G40750	GLYMA04G40750.2
fig|3847.5.peg.10136	GLYMA04G40760	GLYMA04G40760.1
fig|3847.5.peg.10137	GLYMA04G40770	GLYMA04G40770.1
fig|3847.5.peg.10138	GLYMA04G40780	GLYMA04G40780.1
fig|3847.5.peg.10139	GLYMA04G40790	GLYMA04G40790.1
fig|3847.5.peg.1014	GLYMA01G26600	GLYMA01G26600.1
fig|3847.5.peg.10140	GLYMA04G40810	GLYMA04G40810.1
fig|3847.5.peg.10141	GLYMA04G40823	GLYMA04G40823.1
fig|3847.5.peg.10142	GLYMA04G40836	GLYMA04G40836.1
fig|3847.5.peg.10143	GLYMA04G40850	GLYMA04G40850.2
fig|3847.5.peg.10144	GLYMA04G40861	GLYMA04G40861.1
fig|3847.5.peg.10145	GLYMA04G40870	GLYMA04G40870.1
fig|3847.5.peg.10146	GLYMA04G40880	GLYMA04G40880.2
fig|3847.5.peg.10147	GLYMA04G40890	GLYMA04G40890.1
fig|3847.5.peg.10148	GLYMA04G40900	GLYMA04G40900.3
fig|3847.5.peg.10149	GLYMA04G40920	GLYMA04G40920.1
fig|3847.5.peg.1015	GLYMA01G26606	GLYMA01G26606.1
fig|3847.5.peg.10150	GLYMA04G40930	GLYMA04G40930.1
fig|3847.5.peg.10151	GLYMA04G40940	GLYMA04G40940.1
fig|3847.5.peg.10152	GLYMA04G40960	GLYMA04G40960.1
fig|3847.5.peg.10153	GLYMA04G40970	GLYMA04G40970.1
fig|3847.5.peg.10154	GLYMA04G40980	GLYMA04G40980.1
fig|3847.5.peg.10155	GLYMA04G40990	GLYMA04G40990.1
fig|3847.5.peg.10156	GLYMA04G41000	GLYMA04G41000.1
fig|3847.5.peg.10157	GLYMA04G41010	GLYMA04G41010.1
fig|3847.5.peg.10158	GLYMA04G41020	GLYMA04G41020.1
fig|3847.5.peg.10159	GLYMA04G41030	GLYMA04G41030.2
fig|3847.5.peg.1016	GLYMA01G26613	GLYMA01G26613.1
fig|3847.5.peg.10160	GLYMA04G41040	GLYMA04G41040.1
fig|3847.5.peg.10161	GLYMA04G41060	GLYMA04G41060.1
fig|3847.5.peg.10162	GLYMA04G41070	GLYMA04G41070.3
