Flavin-containing glucosinolate S-oxygenase (no EC)	UPDATE	Aliphatic glucosinolate S-oxygenase (EC 1.14.13.237)
Aliphatic glucosinolate S-oxygenase (EC 1.14.13.237)	ADD features	Athalian_TAIR10||AT1G65860
Aliphatic glucosinolate S-oxygenase (EC 1.14.13.237)	ADD features	Athalian_TAIR10||AT1G62540
Aliphatic glucosinolate S-oxygenase (EC 1.14.13.237)	ADD features	Athalian_TAIR10||AT1G62560
Aliphatic glucosinolate S-oxygenase (EC 1.14.13.237)	ADD features	Athalian_TAIR10||AT1G62570
Aliphatic glucosinolate S-oxygenase (EC 1.14.13.237)	ADD features	Athalian_TAIR10||AT1G12140
Aliphatic glucosinolate S-oxygenase (EC 1.14.13.237)	ADD	publications	10.1104/pp.108.125757
