Gamma-glutamyl peptidase in glucosinolates biosynthesis	UPDATE	Glucosinolate gamma-glutamyl hydrolase (EC 3.4.19.16)
Glucosinolate gamma-glutamyl hydrolase (EC 3.4.19.16)	ADD	features	Athalian_TAIR10||AT4G30530
Glucosinolate gamma-glutamyl hydrolase (EC 3.4.19.16)	ADD	features	Athalian_TAIR10||AT4G30540
Glucosinolate gamma-glutamyl hydrolase (EC 3.4.19.16)	ADD	features	Athalian_TAIR10||AT4G30550
Glucosinolate gamma-glutamyl hydrolase (EC 3.4.19.16)	ADD	features	Athalian_TAIR10||AT2G23960
Glucosinolate gamma-glutamyl hydrolase (EC 3.4.19.16)	ADD	features	Athalian_TAIR10||AT2G23970
Glucosinolate gamma-glutamyl hydrolase (EC 3.4.19.16)	ADD	features	Athalian_TAIR10||AT4G29210
Glucosinolate gamma-glutamyl hydrolase (EC 3.4.19.16)	ADD	publications	10.1038/nchembio.185
Glucosinolate gamma-glutamyl hydrolase (EC 3.4.19.16)	ADD	publications	10.1105/tpc.111.083998
Glucosinolate gamma-glutamyl hydrolase (EC 3.4.19.16)	ADD	publications	10.1016/j.febslet.2007.05.071
