Glutathione S-transferase in Trp, Phe, Tyr-derived glucosinolates biosynthesis, predicted	UPDATE	Glutathione S-transferase
Glutathione S-transferase	ADD	features	Athaliana_TAIR10||AT2G30860
Glutathione S-transferase	ADD	features	Athaliana_TAIR10||AT2G30870
Glutathione S-transferase	ADD	features	Athaliana_TAIR10||AT3G03190
Glutathione S-transferase	ADD	features	Athaliana_TAIR10||AT1G27130
Glutathione S-transferase	ADD	features	Athaliana_TAIR10||AT1G78370
Glutathione S-transferase	ADD	publications	10.1007/s00299-006-0146-1
Glutathione S-transferase	ADD	publications	10.3389/fpls.2021.816233
Glutathione S-transferase	ADD	publications	10.1093/molbev/msq204
