2-oxo-5-methylthiopentanoate transaminase (EC 2.6.1.-)	REMOVE	subsystems	Biosynthesis_of_benzenic_and_indolic_glucosinolates_in_plants_(core_structure_and_secondary_modifications)
2-oxo-5-methylthiopentanoate transaminase (EC 2.6.1.-)	REMOVE	reactions	rxn37767
2-oxo-5-methylthiopentanoate transaminase (EC 2.6.1.-)	REMOVE	reactions	rxn37768
2-oxo-5-methylthiopentanoate transaminase (EC 2.6.1.-)	ADD	reactions	rxn23780
2-oxo-5-methylthiopentanoate transaminase (EC 2.6.1.-)	ADD	features	UniProt||Q9M401	Athaliana_TAIR10||AT3G49680
2-oxo-5-methylthiopentanoate transaminase (EC 2.6.1.-)	ADD	publications	10.1104/pp.107.111609
Branched-chain amino acid aminotransferase (EC 2.6.1.42)	ADD	features	UniProt||Q9M401	Athaliana_TAIR10||AT3G49680
Branched-chain amino acid aminotransferase (EC 2.6.1.42)	ADD	publications	10.1104/pp.107.111609
